T,,1,1,3,3,L3,5,-,5,-,L3,6,-,6,6,L3,5,-,3,-,R
T,,5,5,1,1,X,7,2,1,7,X,6,7,1,2,X,3,-,1,-,R
T,,MDN,MDN,,,X,MDN,,,MDN,X,MDN,MDN,,,X,,,,,R
T,(1),圣,哉，,圣,哉，,,圣,,哉,，,,全,,能,大,,主,,宰,！,R
T,(2),圣,哉，,圣,哉，,,圣,,哉,，,,群,,圣,皆,,跪,,拜,！,R
T,(3),圣,哉，,圣,哉，,,圣,,哉,，,,鸿,,恩,遍,,宇,,内,！,R
T,,,,,,L4,,,,,L4,,,,,L4,MUDN,,,,R
T,,3,3,1,1,X,2,4,3,5,X,4,5,6,7,X,1,5,5,-,R
T,,1,1,6,6,X,5,-,1,-,X,4,-,4,4,X,1,-,1,-,R
T,,,,MDN,MDN,X,MDN,,,,X,MDN,,,,X,,,,,RK
T,,,,,,L5,MUDN,,,,L5,,,,,L5,,,,,R
T,,5.,5,5,5,X,1,-,7,5,X,2,5,6.,5,X,5,-,-,-,R
T,,,MBN,,,X,,,,,X,,,,MBN,X,,,,,R
T,,2,2,3,2,X,1,2,2,3,X,2,7,1.,7,X,7,-,-,-,R
T,,,,,,X,,,,,X,,MDN,,MDN,X,MDN,,,,R
T,,天,上、,地,下,、,海,,中,万,,物,颂,主,高,,名,；,,,R
T,,各,以,华,丽,,冠,,冕，,捧,,在,宝,座,面,,前,；,,,R
T,,蒙,赎,信,徒,，,得,,瞻,真,,主,威,赫,荣,,光,；,,,R
T,,5,5,5,5,L4,3,#4,5,5,L4,7,5,#4.,5,L4,5,-,4,-,R
T,,,,,,X,,,,,X,,,,MBN,X,,,,,R
T,,7,7,1,7,X,6,-,7,1,X,2,2,2.,5,X,5,-,-,-,R
T,,MDN,MDN,,MDN,X,MDN,,MDN,,X,,,,MBDN,X,MDN,,,,RK
T,,1,1,3,3,L4,5,-,5,-,L4,6.,6,6,6,L4,5,-,5,-,R
T,,,,,,X,,,,,X,,MBN,,,X,,,,,R
T,,5,5,1,1,X,7,2,1,7,X,6,7,1,2,X,3,-,1,-,R
T,,MDN,MDN,,,X,MDN,,,MDN,X,MDN,MDN,,,X,,,,,R
T,,圣,善、,恩,慈,、,诚,,实,，,,自,古,永,无,,更,,改,，,R
T,,权,柄、,尊,贵,、,荣,,耀,，,,都,归,被,杀,,羔,,羊,，,R
T,,公,义、,真,理,、,审,,判,，,,谁,与,圣,灵,,堪,,比,？,R
T,,,,,,L4,,,,,L4,,,,,L4,MUDN,,,,R
T,,3,3,1,1,X,2,4,3,5,X,4,5,6,7,X,1,5,3,-,R
T,,1,1,6,6,X,5,-,1,-,X,4.,4,4,4,X,1,-,1,-,R
T,,,,MDN,MDN,X,MDN,,,,X,MDN,MBDN,,,X,,,,,RK
T,,MUDN,,,,L4,,,,,L4,,,,,L4,,,,,R
T,,1,-,5,5,X,6,-,3,-,X,4,2,2.,1,X,1,-,-,-,R
T,,1,-,1,1,X,1,-,1,#6,X,6,6,7.,1,X,1,-,-,-,R
T,,,,,,X,,,,MDN,X,MDN,MDN,MDN,MBN,X,MDN,,,,R
T,,独,,一,的,,真,,神,，,,应,当,受,赞,,美,。,,,R
T,,昔,,在,而,,今,,在,，,,永,在,万,万,,年,。,,,R
T,,智,、,仁、,勇,,全,,备,，,,大,哉，,保,惠,,师,！,,,R
T,,3,4,5,#6,L4,6,-,5,-,L4,4,4,4.,3,L4,3,-,-,-,R
T,,,,,,X,,,,,X,,,,MBN,X,,,,,R
T,,6,-,3,3,X,4,-,1,-,X,4,4,5.,1,X,1,-,-,-,R
T,,MDN,,MDN,MDN,X,MDN,,,,X,MDN,MDN,MDN,MBN,X,,,,,R
